Time,trans_axial,forca,trans_grande,trans_radial,1,2,3,RDP132105,Ref. of axis Actuador axial 10 kN,Number of cycles,LVDT 3,RDP132091,RDP132089,ea,q,Ed_Shoelace,Ed_trapezio,,,
"5:131:7173:429531:429497665,5",5.59672056,0.18735057,5.74148458,0.96797099,3.23506368,1.27598114,2.58562964,0.00986094,1,949997,0.0124425526153846,0.00490761976923077,0.00994472938461538,0.00742617457692308,10.6018735312299,0.00519138835499078,0.00181348345505067,0.00517964325845335,,
"5:131:7173:429531:429497690,6",5.6488881,0.28241217,5.80238997,0.7901804,3.22451319,1.29004472,2.64251416,0.01004355,1,949997,0.0124019738076923,0.00496171046153846,0.010163516,0.00756261323076923,15.9812596781542,,0.00290230648065063,,,
"5:131:7173:429531:429497715,6",5.71143724,0.39331737,5.87148432,0.67165334,3.22892235,1.3058068,2.70568826,0.01004355,1,949997,0.0124189321153846,0.00502233384615385,0.0104064933076923,0.00771441357692308,22.2572101828992,,0.00380581599165311,,,
"5:131:7173:429532:429496740,6",5.77320776,0.52706376,5.94006686,0.67165334,3.23506368,1.31946274,2.76802746,0.00986094,1,949997,0.0124425526153846,0.00507485669230769,0.0106462594615385,0.00786055807692308,29.8257076368357,,0.00445692827121522,,,
"5:131:7173:429532:429496765,6",5.8318638,0.70675659,6.00557854,0.61238981,3.24529923,1.33046902,2.82340916,0.00986094,1,949997,0.0124819201153846,0.00511718853846154,0.010859266,0.00798822726923077,39.9942417284523,,0.00276497562853777,,,
"5:131:7173:429532:429496790,6",5.87157342,0.82479141,6.03679895,0.61238981,3.26104623,1.33542864,2.85162878,0.00986094,1,949997,0.0125424855,0.005136264,0.010967803,0.0080520335,46.6736461942166,,0.000893380362523266,,,
"5:131:7173:429532:429496815,6",5.88013824,0.85264974,6.04754696,0.61238981,3.27836793,1.33692332,2.85992212,0.01004355,1,949997,0.0126091074230769,0.00514201276923077,0.0109997004615385,0.00807085661538461,48.2501051900513,,0.000247942512202546,,,
"5:131:7173:429532:429496840,6",5.88325272,0.85344192,6.05112963,0.53337177,3.29128047,1.33753478,2.86198154,0.01004355,1,949997,0.0126587710384615,0.00514436453846154,0.0110076213076923,0.00807599292307692,48.2949334079424,,-2.36985287686727E-05,,,
"5:131:7173:429532:429496865,6",5.88013824,0.8199063,6.04601153,0.47410824,3.30435048,1.33794242,2.86131362,0.00967833,1,949997,0.0127090403076923,0.00514593238461539,0.0110050523846154,0.00807549238461539,46.3972055172219,,-0.00104493445916817,,,
"5:131:7173:429532:429496890,6",5.86274906,0.70675659,6.03372809,0.47410824,3.31978254,1.33794242,2.84873446,0.00967833,1,949997,0.0127683943846154,0.00514593238461539,0.010956671,0.00805130169230769,39.9942417284523,,-0.00111990417750799,,,
"5:131:7173:429532:429496915,6",5.84535988,0.60918642,6.01479112,0.47410824,3.3289158,1.33794242,2.833094,0.00967833,1,949997,0.0128035223076923,0.00514593238461539,0.0108965153846154,0.00802122388461539,34.4728995582064,,-0.00129653616977237,,,
"5:131:7173:429532:429496940,6",5.8240776,0.51940602,5.99175967,0.47410824,3.33316749,1.33753478,2.81238848,0.00967833,1,949997,0.0128198749615385,0.00514436453846154,0.0108168787692308,0.00798062165384615,29.3923681972224,,-0.00196527531151132,,,
"5:131:7173:429532:429496965,6",5.7955282,0.41906322,5.94774401,0.47410824,3.33741918,1.33339044,2.77804626,0.00967833,1,949997,0.0128362276153846,0.00512842476923077,0.0106847933076923,0.00790660903846154,23.7141272643578,,-0.00219876590483889,,,
"5:131:7173:429532:429496990,6",5.75036824,0.32637816,5.89912206,0.47410824,3.33899388,1.32571322,2.7315145,0.01004355,1,949997,0.0128422841538462,0.005098897,0.010505825,0.007802361,18.4692257711067,,-0.001986830053606,,,
"5:131:7173:429532:429497015,6",5.6994984,0.24174693,5.84026391,0.47410824,3.33080544,1.31409548,2.67886014,0.01004355,1,949997,0.0128107901538462,0.00505421338461539,0.0103033082307692,0.00767876080769231,13.6800778264144,,-0.00153576100884484,,,
"5:131:7173:429532:429497040,6",5.64810948,0.1663578,5.78550024,0.47410824,3.31868025,1.29976014,2.62403504,0.01004355,1,949997,0.0127641548076923,0.00499907746153846,0.0100924424615385,0.00754575996153846,9.41392575711748,,-0.000996972278437619,,,
